new_payee,amount,typical_amount,amount_ratio,hour,off_hours,urgency_language_flag,behavioral_anomaly_flag,velocity_last_hour,is_fraud
0,1591.13,890.81,1.786,11,0,0,0,0,0
0,173.32,683.6,0.254,19,0,0,0,0,0
0,2781.96,930.89,2.988,3,1,0,0,0,1
1,2904.25,992.24,2.927,1,1,1,1,2,1
1,746.78,691.34,1.08,14,0,0,1,1,1
0,340.46,308.71,1.103,22,1,0,0,0,0
1,12315.86,4129.91,2.982,5,1,1,1,0,1
1,3425.08,3545.98,0.966,17,0,0,0,0,1
0,1342.37,470.63,2.852,20,0,0,0,0,0
1,412.34,1673.51,0.246,21,0,0,1,0,0
0,621.19,657.2,0.945,4,1,0,0,0,0
1,9831.7,1169.8,8.405,3,1,0,0,0,1
1,2162.37,1085.41,1.992,10,0,0,0,0,1
0,883.81,1007.22,0.877,10,0,0,0,2,0
0,3507.28,8979.08,0.391,8,0,0,0,0,0
0,627.21,995.96,0.63,2,1,1,0,0,1
0,12722.1,715.2,17.788,10,0,0,1,3,1
1,10494.86,745.22,14.083,1,1,0,0,0,1
1,985.8,3787.26,0.26,8,0,0,0,0,0
0,798.49,334.66,2.386,23,1,0,0,0,1
0,60.13,745.19,0.081,9,0,0,0,1,0
0,263.47,5443.3,0.048,10,0,0,0,0,0
0,316.93,1843.81,0.172,2,1,0,0,0,0
0,2155.43,1759.4,1.225,16,0,0,0,0,0
0,1183.1,10086.28,0.117,10,0,0,0,0,0
1,314.53,1847.73,0.17,16,0,1,0,1,1
0,1254.49,782.61,1.603,18,0,0,0,0,0
0,3487.49,1148.41,3.037,3,1,0,0,0,0
1,3591.02,532.78,6.74,1,1,0,1,0,1
0,153.0,4584.07,0.033,23,1,0,0,0,0
1,1530.36,2482.71,0.616,13,0,1,1,0,1
1,299.36,4072.34,0.074,14,0,0,1,0,1
0,5838.61,4410.25,1.324,2,1,0,0,1,0
0,5011.0,1019.65,4.914,19,0,0,0,0,0
0,562.6,632.53,0.889,21,0,0,0,3,0
0,667.9,1412.98,0.473,12,0,0,1,1,0
0,992.62,674.87,1.471,21,0,0,1,0,1
0,96.68,1717.22,0.056,12,0,0,0,1,0
0,2798.28,4100.59,0.682,17,0,0,0,1,1
0,1268.13,1272.42,0.997,21,0,0,0,0,0
0,6381.94,1694.25,3.767,19,0,0,0,0,0
1,433.58,1360.41,0.319,20,0,0,0,1,0
0,808.47,3048.65,0.265,6,0,0,0,1,0
0,255.06,811.59,0.314,22,1,0,0,1,0
0,490.01,205.04,2.39,15,0,0,0,0,0
1,388.94,2261.5,0.172,15,0,1,0,0,1
0,6599.61,3601.3,1.833,21,0,0,0,0,0
0,729.43,2212.19,0.33,5,1,0,0,2,0
1,2124.79,831.97,2.554,5,1,0,1,0,1
0,1102.14,532.98,2.068,3,1,0,0,1,0
1,347.13,2310.1,0.15,2,1,0,0,0,0
0,1452.74,1681.31,0.864,0,1,0,0,1,0
0,3939.6,1321.85,2.98,2,1,0,0,0,0
0,376.12,7632.85,0.049,18,0,0,0,0,0
0,5176.3,631.36,8.199,8,0,0,0,0,0
0,599.06,7313.91,0.082,13,0,0,0,0,0
1,964.99,1523.26,0.634,18,0,0,0,0,1
0,3604.32,283.72,12.704,23,1,0,0,0,0
0,763.21,1259.81,0.606,23,1,0,0,1,0
0,1898.55,3510.61,0.541,18,0,0,0,1,0
0,1200.99,1065.77,1.127,12,0,0,0,0,0
0,2139.18,392.56,5.449,21,0,0,0,0,0
0,81.86,1276.58,0.064,15,0,0,0,0,0
0,167.57,684.4,0.245,7,0,0,0,0,0
0,4026.92,2304.53,1.747,23,1,0,0,1,0
0,6962.79,2969.24,2.345,15,0,0,0,0,0
0,553.56,572.12,0.968,8,0,0,0,0,0
0,1316.54,784.29,1.679,8,0,0,0,0,0
0,2652.17,2924.79,0.907,23,1,0,0,0,0
1,4452.33,683.37,6.515,22,1,1,0,0,1
0,129.54,558.95,0.232,2,1,0,0,0,0
0,571.43,512.44,1.115,6,0,0,0,1,0
0,1173.38,2032.12,0.577,19,0,0,0,0,0
1,4510.13,1955.19,2.307,17,0,0,0,0,1
1,46534.98,799.8,58.183,23,1,0,0,0,1
0,1344.25,1487.09,0.904,1,1,0,0,1,0
0,290.3,5851.3,0.05,0,1,0,0,0,0
1,3050.16,616.06,4.951,11,0,1,0,0,1
0,10069.78,255.55,39.404,15,0,0,0,1,1
0,2080.61,2229.58,0.933,11,0,1,0,0,0
0,556.33,1340.29,0.415,20,0,0,0,1,0
0,6281.68,781.31,8.04,9,0,0,0,2,1
1,4283.86,2662.1,1.609,8,0,0,0,0,0
1,476.32,3150.46,0.151,20,0,0,0,0,0
0,2968.62,202.87,14.633,17,0,0,0,1,1
0,6610.7,822.76,8.035,3,1,0,0,0,0
0,8403.95,11917.52,0.705,7,0,0,0,1,0
1,1658.41,2502.55,0.663,22,1,0,0,0,1
1,1135.12,2720.29,0.417,20,0,1,1,0,1
1,8914.69,4253.96,2.096,3,1,1,1,0,1
1,374.95,1503.22,0.249,15,0,0,1,0,0
0,3197.59,3032.12,1.055,20,0,0,1,0,0
0,304.59,2824.98,0.108,22,1,0,0,0,0
0,7222.74,2404.6,3.004,20,0,0,0,0,0
1,1292.77,1107.86,1.167,7,0,1,0,0,1
0,9406.52,1728.23,5.443,6,0,0,0,0,0
0,3424.93,871.73,3.929,22,1,0,0,0,1
0,368.64,1497.47,0.246,23,1,1,0,0,1
0,11522.03,517.16,22.279,12,0,0,0,1,1
0,13583.61,726.65,18.693,7,0,0,0,0,1
0,5692.89,1148.16,4.958,21,0,0,0,0,0
0,671.78,633.12,1.061,6,0,0,0,0,0
0,1214.61,939.63,1.293,23,1,0,0,0,0
0,2184.31,1277.25,1.71,4,1,0,1,0,0
0,724.28,2126.08,0.341,17,0,0,0,0,0
1,16318.43,3478.41,4.691,22,1,0,0,0,1
0,2181.19,975.15,2.237,18,0,0,0,0,0
0,53.82,4922.61,0.011,9,0,0,0,0,0
1,2810.63,3445.24,0.816,10,0,1,0,0,1
0,1149.86,2330.14,0.493,7,0,0,0,0,0
1,1640.24,1699.83,0.965,5,1,0,1,0,1
0,1119.68,1972.8,0.568,10,0,0,0,1,0
0,5162.42,4308.5,1.198,15,0,0,0,1,0
0,7751.13,4452.5,1.741,3,1,1,0,0,1
0,2612.25,4921.91,0.531,1,1,0,0,0,1
0,1163.16,1536.4,0.757,12,0,0,0,0,0
0,1713.45,2439.31,0.702,6,0,0,0,1,0
1,1854.7,4960.15,0.374,16,0,0,1,1,1
0,637.05,844.42,0.754,22,1,0,0,0,1
1,3837.62,1111.45,3.453,12,0,0,0,2,1
0,3288.07,1501.82,2.189,9,0,0,0,0,0
1,13394.15,3326.38,4.027,12,0,0,0,0,0
0,9246.08,3373.33,2.741,9,0,0,0,1,0
0,741.46,1202.58,0.617,6,0,0,0,1,0
0,5252.12,380.79,13.793,9,0,0,0,0,1
0,525.19,1847.46,0.284,15,0,1,0,2,1
1,4468.07,647.76,6.898,2,1,0,1,0,1
0,923.71,387.24,2.385,3,1,0,0,0,0
0,478.08,474.62,1.007,3,1,0,0,0,0
0,2602.06,1985.73,1.31,3,1,0,0,0,0
0,55.87,5038.85,0.011,15,0,0,0,1,0
1,185.63,1533.04,0.121,8,0,1,1,0,1
1,1435.49,1790.49,0.802,5,1,0,1,0,1
1,2012.58,4292.42,0.469,9,0,1,0,0,1
0,1118.66,368.7,3.034,3,1,0,0,0,1
0,232.0,2364.11,0.098,22,1,0,0,0,0
1,624.37,1464.94,0.426,11,0,1,0,0,1
0,3006.62,2463.78,1.22,9,0,0,0,0,0
1,3851.88,958.02,4.021,11,0,0,0,0,0
1,1770.31,709.0,2.497,18,0,1,0,3,1
1,8134.62,1679.85,4.842,18,0,0,0,0,1
0,3030.9,6530.72,0.464,21,0,0,0,1,1
0,684.24,3212.55,0.213,23,1,0,0,1,0
1,1255.57,937.37,1.339,0,1,1,0,1,0
0,291.86,442.8,0.659,3,1,0,0,0,0
0,1570.92,325.75,4.822,12,0,0,0,1,0
0,7675.06,4839.13,1.586,7,0,0,0,0,0
1,4406.68,626.67,7.032,21,0,0,0,0,1
0,11188.17,1104.38,10.131,13,0,0,0,1,1
0,1219.56,4861.44,0.251,15,0,1,0,1,1
0,10403.83,346.36,30.038,1,1,0,0,0,1
0,1406.28,5670.53,0.248,7,0,0,0,0,1
1,12247.3,1178.18,10.395,12,0,0,0,0,1
0,1757.39,526.51,3.338,0,1,0,0,0,0
0,4534.19,1184.87,3.827,11,0,0,0,1,1
1,12303.59,772.52,15.927,16,0,0,0,0,1
1,1406.06,2201.16,0.639,6,0,0,0,0,0
0,2401.64,826.07,2.907,15,0,0,0,1,0
1,9657.81,264.94,36.453,13,0,0,1,1,1
0,1520.96,1213.78,1.253,9,0,0,0,1,0
0,324.68,436.64,0.744,2,1,0,1,1,0
1,29316.6,1779.14,16.478,11,0,0,0,0,1
1,981.72,508.56,1.93,7,0,0,0,2,1
1,2222.49,954.12,2.329,15,0,0,0,0,1
1,8125.87,1744.68,4.658,23,1,1,0,0,1
0,819.72,1222.66,0.67,0,1,0,0,0,0
0,487.73,1854.53,0.263,16,0,0,0,0,0
1,2514.57,2730.55,0.921,5,1,1,1,0,1
0,175.74,522.1,0.337,0,1,0,0,1,0
1,1243.55,1396.94,0.89,23,1,0,0,0,1
1,2486.3,73.95,33.621,14,0,0,0,0,1
1,1272.91,1849.37,0.688,12,0,0,1,0,1
0,243.11,1129.2,0.215,5,1,0,0,0,0
0,14363.3,610.88,23.512,20,0,0,0,0,0
0,2068.54,1966.77,1.052,12,0,0,0,0,0
0,11620.17,4253.2,2.732,21,0,0,0,0,0
0,1289.43,964.48,1.337,3,1,0,0,1,0
0,575.93,632.49,0.911,0,1,0,0,1,1
0,2565.57,1717.32,1.494,22,1,0,0,1,0
0,1365.77,444.95,3.069,9,0,0,0,0,0
0,391.08,817.01,0.479,3,1,0,1,1,1
0,12218.66,4447.79,2.747,12,0,0,0,0,0
0,805.17,1565.5,0.514,3,1,0,0,0,0
1,165.28,272.73,0.606,15,0,0,0,0,0
0,10164.09,293.74,34.602,8,0,0,0,0,0
0,938.62,1712.79,0.548,3,1,0,0,0,0
0,820.43,3216.83,0.255,19,0,0,1,1,1
1,182.18,345.21,0.528,7,0,0,0,0,0
0,17382.58,2218.84,7.834,3,1,0,0,0,0
0,338.21,4901.56,0.069,8,0,0,0,0,0
0,1950.78,8095.58,0.241,10,0,0,0,0,0
0,5921.86,1994.4,2.969,23,1,0,0,0,0
0,3128.26,2335.83,1.339,4,1,0,0,1,0
0,1673.13,217.05,7.709,8,0,0,0,0,0
0,197.91,9796.47,0.02,7,0,0,1,0,0
1,631.03,881.88,0.716,3,1,1,0,0,1
1,2308.01,638.98,3.612,19,0,0,0,0,0
0,649.81,1176.52,0.552,0,1,0,0,0,0
0,2355.17,5770.45,0.408,19,0,0,1,1,1
1,4386.41,10799.35,0.406,12,0,0,0,0,0
0,6318.61,1657.17,3.813,23,1,0,0,2,1
0,367.22,3634.68,0.101,4,1,0,0,0,0
0,31433.83,1538.99,20.425,21,0,0,1,0,1
0,4903.59,581.72,8.429,19,0,1,0,0,1
1,1804.02,5591.87,0.323,20,0,1,0,1,1
1,7453.19,845.63,8.814,9,0,0,0,0,1
0,39145.08,5895.69,6.64,15,0,0,1,0,1
0,278.57,4763.26,0.058,7,0,0,0,1,0
0,1349.05,2572.5,0.524,11,0,0,0,0,0
0,82.11,7677.72,0.011,2,1,0,0,0,1
0,2322.61,11038.14,0.21,3,1,0,0,0,0
0,2907.39,1264.31,2.3,16,0,1,0,0,1
1,1718.3,714.86,2.404,20,0,0,0,0,0
0,772.09,276.49,2.792,19,0,0,0,0,0
0,125.92,11161.37,0.011,21,0,0,0,1,0
1,2938.32,996.54,2.949,21,0,0,0,0,1
1,11992.84,4111.46,2.917,12,0,0,0,0,0
0,838.55,759.66,1.104,5,1,0,0,0,0
0,3203.75,5910.22,0.542,2,1,0,0,0,0
0,235.43,788.31,0.299,13,0,0,0,0,0
0,3276.0,506.46,6.468,6,0,0,0,0,0
0,1084.21,1227.02,0.884,2,1,0,0,0,1
1,671.06,917.27,0.732,5,1,0,0,0,0
0,672.85,2531.76,0.266,12,0,0,0,0,0
0,1083.88,1413.39,0.767,13,0,0,0,1,0
0,2972.51,2604.33,1.141,14,0,0,0,0,0
0,328.39,1139.2,0.288,15,0,0,0,0,0
1,1078.96,813.55,1.326,0,1,0,0,1,0
1,1713.15,875.5,1.957,14,0,0,1,1,1
0,433.22,9324.91,0.046,23,1,0,0,0,0
0,18688.52,1812.85,10.309,6,0,0,0,1,1
0,596.13,248.29,2.401,8,0,0,0,0,0
0,757.28,926.87,0.817,14,0,0,0,0,0
0,506.84,1615.14,0.314,13,0,0,0,0,0
0,18732.67,7792.05,2.404,18,0,1,0,2,0
0,3709.96,3736.22,0.993,23,1,0,0,0,0
0,535.09,645.78,0.829,17,0,0,0,3,0
0,7616.72,13049.7,0.584,8,0,0,0,0,0
0,2347.04,1439.36,1.631,0,1,0,0,0,0
0,2526.09,4544.61,0.556,11,0,0,0,0,0
0,1155.37,523.48,2.207,9,0,0,1,1,1
0,682.5,171.0,3.991,6,0,1,0,0,0
1,2804.82,416.72,6.731,13,0,1,0,0,1
0,890.15,79.42,11.208,0,1,0,1,0,0
0,19183.05,9905.85,1.937,14,0,0,0,1,1
0,347.21,1795.57,0.193,21,0,0,0,0,0
0,13319.76,644.08,20.68,0,1,0,0,2,1
0,1564.44,2224.67,0.703,12,0,1,0,0,0
0,2667.27,1755.31,1.52,19,0,0,0,2,0
1,5340.66,2588.52,2.063,22,1,1,0,0,1
0,796.86,4396.56,0.181,1,1,0,1,0,1
0,5560.94,1140.33,4.877,2,1,0,0,0,1
0,53.53,670.58,0.08,3,1,0,0,1,0
0,709.11,3118.16,0.227,15,0,0,0,0,0
0,543.87,3047.57,0.178,21,0,0,0,0,0
1,354.41,1620.78,0.219,11,0,1,1,0,1
0,1367.25,10507.02,0.13,3,1,0,0,0,0
1,2985.36,998.21,2.991,21,0,0,0,0,0
1,4507.32,658.61,6.844,11,0,1,0,0,1
0,2472.88,2156.59,1.147,6,0,0,0,0,0
0,760.97,806.38,0.944,19,0,0,0,1,0
0,2921.12,2312.22,1.263,21,0,0,0,0,0
0,2125.09,699.45,3.038,2,1,0,0,0,0
0,6105.06,1032.55,5.913,4,1,0,0,0,0
0,4964.25,8117.33,0.612,11,0,0,0,0,0
0,1881.11,1027.59,1.831,11,0,0,0,0,0
0,563.16,721.28,0.781,19,0,0,0,1,0
1,773.68,4245.48,0.182,22,1,1,0,1,1
0,884.72,574.82,1.539,21,0,0,0,0,0
1,1200.09,793.42,1.513,6,0,0,1,0,1
0,2561.8,2487.18,1.03,21,0,0,0,1,1
0,4581.25,3444.62,1.33,11,0,0,0,1,0
0,1691.8,4440.08,0.381,1,1,0,0,1,0
0,1846.34,755.59,2.444,13,0,0,0,1,0
1,2178.3,2531.1,0.861,22,1,0,0,0,0
1,924.56,973.12,0.95,15,0,1,0,0,1
1,542.94,858.26,0.633,23,1,1,0,0,0
0,184.55,4371.63,0.042,6,0,0,0,0,0
0,732.38,902.71,0.811,3,1,0,0,1,1
1,3344.56,1901.47,1.759,19,0,0,0,0,0
1,725.03,1702.79,0.426,4,1,0,0,0,0
1,1327.23,564.71,2.35,13,0,1,1,0,1
0,3315.49,3531.52,0.939,8,0,0,0,0,0
0,3557.8,2451.0,1.452,4,1,0,0,0,0
1,444.35,247.73,1.794,1,1,1,0,1,1
0,6608.93,1900.13,3.478,4,1,0,0,1,0
1,7828.73,738.28,10.604,2,1,0,1,0,1
1,416.21,3973.36,0.105,9,0,0,1,1,0
0,619.56,403.08,1.537,7,0,0,1,1,0
1,8505.07,1074.03,7.919,9,0,1,0,0,0
1,1493.82,2050.47,0.729,1,1,0,0,1,1
0,100.92,1554.5,0.065,13,0,0,0,1,0
1,293.07,2941.46,0.1,3,1,0,0,1,1
0,1307.43,377.44,3.464,20,0,0,0,0,0
1,398.63,6546.74,0.061,11,0,0,1,0,1
0,1056.32,2374.71,0.445,19,0,0,0,0,0
1,1885.81,5032.87,0.375,13,0,0,0,0,1
0,12099.64,3251.32,3.721,15,0,0,0,0,0
0,1239.43,1464.91,0.846,4,1,0,0,1,1
1,7290.33,466.02,15.644,15,0,1,0,0,1
0,11584.09,891.41,12.995,3,1,0,1,0,1
0,11667.97,6189.48,1.885,2,1,0,0,1,0
1,2618.04,5150.73,0.508,0,1,1,1,1,1
1,140.85,847.56,0.166,3,1,1,0,0,1
0,3291.41,117.16,28.093,8,0,0,1,0,0
0,7065.08,1222.41,5.78,0,1,0,0,0,0
0,1627.19,1142.61,1.424,15,0,0,0,1,0
0,17465.09,1182.29,14.772,22,1,0,0,0,0
0,5529.12,2381.98,2.321,2,1,0,0,0,1
0,3784.83,3257.1,1.162,23,1,0,0,0,1
1,7422.68,3609.3,2.057,5,1,1,0,0,1
1,2788.84,2210.86,1.261,12,0,1,1,0,1
1,70.76,292.75,0.242,16,0,0,1,1,1
0,944.94,1088.9,0.868,14,0,0,0,1,0
0,8572.53,11774.37,0.728,20,0,0,0,1,1
0,632.79,2073.09,0.305,11,0,0,0,0,0
0,1352.2,2061.19,0.656,7,0,0,0,1,0
0,464.85,2045.79,0.227,15,0,0,0,0,0
1,18381.49,2151.33,8.544,2,1,1,1,2,1
0,16089.79,173.33,92.827,3,1,0,0,1,1
0,573.05,1193.24,0.48,6,0,0,0,0,0
0,2189.63,1430.67,1.53,14,0,0,0,0,0
1,746.47,4690.74,0.159,10,0,1,0,0,1
0,4021.57,1545.2,2.603,15,0,0,1,0,1
0,3507.25,336.35,10.427,21,0,0,0,1,1
0,5193.78,2180.0,2.382,13,0,0,0,0,1
1,2783.58,718.06,3.877,22,1,1,1,0,1
0,82127.49,495.17,165.857,12,0,0,1,0,1
1,475.18,698.72,0.68,8,0,0,1,0,1
1,195.63,2412.1,0.081,17,0,1,0,0,1
0,1084.62,4595.74,0.236,2,1,0,0,0,0
0,235.48,2286.18,0.103,19,0,0,0,1,0
1,259.77,2614.48,0.099,21,0,0,0,0,0
0,491.91,2265.93,0.217,4,1,0,0,0,0
0,545.2,1621.64,0.336,21,0,0,0,0,0
1,522.69,2771.76,0.189,23,1,1,0,0,1
1,3546.39,167.86,21.127,1,1,1,0,0,1
1,936.32,1635.95,0.572,21,0,0,1,1,1
1,1431.72,578.0,2.477,20,0,1,1,0,1
0,5781.99,4215.87,1.371,16,0,0,0,1,0
0,667.66,1296.68,0.515,15,0,0,1,0,0
1,1281.89,1522.11,0.842,23,1,1,0,1,1
0,2908.78,382.01,7.614,19,0,0,0,1,0
0,144.89,3696.52,0.039,23,1,0,0,0,0
1,81.42,2603.46,0.031,12,0,0,1,1,1
0,2835.44,2443.66,1.16,19,0,0,0,1,0
0,3427.61,712.14,4.813,10,0,0,0,0,0
0,26462.56,737.84,35.865,7,0,0,0,0,0
0,2220.58,1810.28,1.227,20,0,0,1,0,0
0,5248.31,792.31,6.624,4,1,0,1,0,1
0,1402.32,2189.45,0.64,1,1,0,0,0,0
0,2660.84,211.7,12.569,3,1,0,0,0,1
0,15794.77,954.52,16.547,2,1,0,0,0,0
1,114.3,7458.27,0.015,1,1,1,0,0,1
0,3095.49,2198.51,1.408,2,1,0,0,0,0
1,29035.16,1720.06,16.88,15,0,1,0,0,1
0,2608.8,8837.01,0.295,19,0,0,0,1,1
0,15455.88,180.85,85.462,8,0,0,0,1,1
1,797.93,710.68,1.123,5,1,1,1,0,1
0,1734.26,1031.68,1.681,14,0,0,0,1,0
1,1888.58,3205.16,0.589,4,1,0,0,0,1
0,101.2,3255.47,0.031,8,0,0,1,0,0
1,395.98,678.98,0.583,23,1,1,0,0,1
0,434.44,3634.25,0.12,5,1,0,0,3,1
1,5264.21,1029.69,5.112,2,1,0,0,1,1
0,5618.38,4404.91,1.275,22,1,0,1,0,1
1,2755.21,584.42,4.714,12,0,0,0,0,1
0,5278.16,1324.8,3.984,21,0,0,1,0,1
0,1460.6,952.27,1.534,14,0,0,0,1,0
1,8625.78,3829.26,2.253,10,0,1,1,0,1
0,1828.82,924.73,1.978,15,0,0,0,2,0
0,1949.3,1424.81,1.368,14,0,0,0,0,0
0,1280.15,2335.85,0.548,23,1,0,1,0,1
0,4401.87,2418.09,1.82,5,1,0,1,0,1
0,1045.7,3288.73,0.318,13,0,0,0,0,0
0,6434.06,1790.07,3.594,10,0,0,0,0,0
1,414.97,1015.95,0.408,19,0,1,0,0,1
0,433.29,1080.6,0.401,9,0,0,0,0,0
0,4418.94,1514.9,2.917,15,0,0,0,0,0
1,1611.45,1853.13,0.87,11,0,1,1,0,1
1,1002.19,1296.66,0.773,6,0,0,0,1,0
0,5750.69,1506.11,3.818,6,0,0,0,0,1
0,821.03,377.84,2.173,23,1,0,0,0,1
0,1393.73,2698.95,0.516,17,0,0,0,0,0
0,11147.79,1742.37,6.398,14,0,1,0,1,1
0,13371.56,3647.08,3.666,5,1,1,0,0,1
0,13962.32,1480.51,9.431,18,0,0,0,0,0
0,1252.93,309.65,4.046,7,0,0,0,0,0
0,8954.52,1072.13,8.352,19,0,0,0,0,0
1,526.56,1236.53,0.426,14,0,1,1,1,1
1,556.14,2888.85,0.193,3,1,0,0,1,0
0,85.15,229.7,0.371,17,0,0,0,0,0
0,15910.41,1536.19,10.357,12,0,0,0,1,1
0,588.06,2350.32,0.25,21,0,1,0,0,0
1,1533.81,816.2,1.879,21,0,0,0,0,0
0,553.68,1583.14,0.35,0,1,0,0,1,0
0,4463.62,841.9,5.302,7,0,0,0,1,0
1,1109.51,767.69,1.445,18,0,0,1,2,1
